timestamp,reference,reconstructed,raw
16.72,66.008322,66.00992054436807,6601
16.73,65.985847,65.98992056656328,6599
16.74,65.963385,65.95992059985608,6596
16.75,65.940935,65.93992062205126,6594
16.76,65.918498,65.91992064424645,6592
16.77,65.896072,65.89992066644166,6590
16.78,65.87366,65.86992069973445,6587
16.79,65.851259,65.84992072192964,6585
16.8,65.828871,65.82992074412482,6583
16.81,65.806495,65.80992076632003,6581
16.82,65.784131,65.77992079961282,6578
16.83,65.76178,65.75992082180801,6576
16.84,65.73944,65.7399208440032,6574
16.85,65.717113,65.71992086619841,6572
16.86,65.694799,65.6899208994912,6569
16.87,65.672496,65.66992092168638,6567
16.88,65.650206,65.64992094388157,6565
16.89,65.627928,65.62992096607678,6563
16.9,65.605662,65.60992098827197,6561
16.91,65.583408,65.57992102156476,6558
16.92,65.561166,65.55992104375994,6556
16.93,65.538937,65.53992106595516,6554
16.94,65.51672,65.51992108815034,6552
16.95,65.494514,65.48992112144313,6549
16.96,65.472321,65.46992114363832,6547
16.97,65.45014,65.44992116583353,6545
16.98,65.427972,65.42992118802871,6543
16.99,65.405815,65.4099212102239,6541
17.0,65.38367,65.37992124351669,6538
17.01,65.361538,65.3599212657119,6536
17.02,65.339417,65.33992128790709,6534
17.03,65.317309,65.31992131010227,6532
17.04,65.295212,65.29992133229749,6530
17.05,65.273128,65.26992136559028,6527
17.06,65.251055,65.24992138778546,6525
17.07,65.228995,65.22992140998065,6523
17.08,65.206946,65.20992143217586,6521
17.09,65.18491,65.17992146546865,6518
17.1,65.162885,65.15992148766384,6516
17.11,65.140873,65.13992150985902,6514
17.12,65.118872,65.11992153205424,6512
17.13,65.096884,65.09992155424942,6510
17.14,65.074907,65.06992158754221,6507
17.15,65.052942,65.0499216097374,6505
17.16,65.030989,65.02992163193261,6503
17.17,65.009048,65.0099216541278,6501
17.18,64.987119,64.98992167632298,6499
17.19,64.965202,64.96992169851819,6497
17.2,64.943297,64.93992173181098,6494
17.21,64.921403,64.91992175400617,6492
17.22,64.899522,64.89992177620135,6490
17.23,64.877652,64.87992179839657,6488
17.24,64.855794,64.85992182059175,6486
17.25,64.833948,64.82992185388454,6483
17.26,64.812114,64.80992187607973,6481
17.27,64.790291,64.78992189827494,6479
17.28,64.76848,64.76992192047013,6477
17.29,64.746681,64.74992194266531,6475
17.3,64.724894,64.7199219759581,6472
17.31,64.703119,64.69992199815331,6470
17.32,64.681355,64.6799220203485,6468
17.33,64.659603,64.65992204254368,6466
17.34,64.637863,64.6399220647389,6464
17.35,64.616134,64.61992208693408,6462
17.36,64.594417,64.58992212022687,6459
17.37,64.572712,64.56992214242206,6457
17.38,64.551019,64.54992216461727,6455
17.39,64.529337,64.52992218681246,6453
17.4,64.507667,64.50992220900764,6451
17.41,64.486008,64.48992223120285,6449
17.42,64.464361,64.45992226449565,6446
17.43,64.442726,64.43992228669083,6444
17.44,64.421102,64.41992230888602,6442
17.45,64.39949,64.39992233108123,6440
17.46,64.37789,64.37992235327641,6438
